,level_0,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,subset,fold
47,47,SLA_cm,-0.29001039310950416,12.739173016125253,0.6993982865473141,1.1192359851054066e-164,0.6911225849063435,2.772254734164511e-159,test,3
48,48,PLH_cm,0.8270621711175884,16.17202709805652,0.9278371613426002,0.0,0.9257462280194713,0.0,test,3
49,49,LNC_cstd,-0.13971436681260596,1.8126451331166606,0.7360498849486956,5.432295906122181e-191,0.693189182936638,1.297315100177694e-160,test,3
50,50,SLA_cstd,0.2396250519453289,1.1025262518954884,0.7772529743227155,2.13378651958227e-226,0.725050920523587,1.2018893806625555e-182,test,3
51,51,PLH_cstd,0.8034934903985858,5.444274204279311,0.9235781935674694,0.0,0.9172724107317538,0.0,test,3
52,52,average,-0.37083393055927394,10.90712489008553,,,,,test,3
53,53,weighted,0.6795069396873744,,,,,,test,3
54,54,richness,0.7834865885652386,21.30831590285955,0.9063150135353485,0.0,0.8880600966930444,0.0,train,4
55,55,LNC_cm,-4.601403340333125,17.33701093925187,0.41168667323731306,3.908206685814381e-137,0.37138317402621673,5.438712253401225e-110,train,4
56,56,SLA_cm,-0.21077854661444162,12.316398042577223,0.7085488760953379,0.0,0.7019236233893149,0.0,train,4
57,57,PLH_cm,0.8281920524054751,16.28429838777858,0.929281352173945,0.0,0.9283646436340903,0.0,train,4
58,58,LNC_cstd,-0.08882720930003174,1.7871893871807263,0.7232864531963062,0.0,0.680479539503129,0.0,train,4
59,59,SLA_cstd,0.2240198385817328,1.1067258305327454,0.7716412866470707,0.0,0.7220873572507722,0.0,train,4
60,60,PLH_cstd,0.8018981217785999,5.6978047246319194,0.9225564847777484,0.0,0.916631952217841,0.0,train,4
61,61,average,-0.323344642130936,10.833963316401801,,,,,train,4
62,62,weighted,0.6817480883671844,,,,,,train,4
63,63,richness,0.7858243044370923,21.16039954017773,0.907978731929477,0.0,0.8987932635991688,0.0,test,4
64,64,LNC_cm,-4.037108344115313,16.61905823558583,0.42289002585925745,1.3515897633754262e-49,0.3937423424585267,1.1684113262147807e-42,test,4
65,65,SLA_cm,-0.3137021470237009,13.084027504471779,0.6784927023075331,2.92396478582698e-151,0.663717551461357,1.5768943173526053e-142,test,4
66,66,PLH_cm,0.8126747438117243,16.61779281528176,0.9258338288190722,0.0,0.9236015506609065,0.0,test,4
67,67,LNC_cstd,-0.1330697064087396,1.761723213547302,0.6939111593131032,6.146665047195949e-161,0.6550630272372011,1.2141002495958873e-137,test,4
68,68,SLA_cstd,0.27475954225840793,0.9901270183422929,0.7811188016546957,6.640920762939425e-230,0.71642550484492,3.170471581315006e-176,test,4
69,69,PLH_cstd,0.8163192593222232,5.400888479825465,0.9271805236695381,0.0,0.9229311297093397,0.0,test,4
