,level_0,index,r2,mse,pearson,pearson_pv,spearman,spearman_pv,subset,fold
51,51,PLH_cstd,0.42288664845752655,15.989105598185498,0.6569688938251725,7.928697513477257e-139,0.6837054530720151,1.3316685628978294e-154,test,3
52,52,average,0.3473801559125441,17.727886907302842,,,,,test,3
53,53,weighted,0.4790868551471165,,,,,,test,3
54,54,richness,0.2670797608770259,72.13084807699042,0.5205779573883353,5.8151439579320486e-232,0.4995005050276073,7.97451540202033e-211,train,4
55,55,LNC_cm,0.1988625058194875,2.4796160277267862,0.44636182313788575,1.1218199027588187e-163,0.441571718595427,8.009953275239252e-160,train,4
56,56,SLA_cm,0.6704674962878996,3.352102244488907,0.8220915959113801,0.0,0.824438673831638,0.0,train,4
57,57,PLH_cm,0.7391157602142395,24.727126217503834,0.8603652413337286,0.0,0.8560398261496838,0.0,train,4
58,58,LNC_cstd,0.029469486128069877,1.5930184509643477,0.32161328020086,1.9972401871425659e-81,0.3211847700369301,3.343430505192082e-81,train,4
59,59,SLA_cstd,0.15254890229969154,1.2086597912813366,0.39953178926449806,1.5149120233021242e-128,0.3892953467292214,1.3791856312100846e-121,train,4
60,60,PLH_cstd,0.44858791209561055,15.859710306075138,0.6741782774142777,0.0,0.698554345010429,0.0,train,4
61,61,average,0.3580188319602892,17.335868730718683,,,,,train,4
62,62,weighted,0.4907520726958536,,,,,,train,4
63,63,richness,0.2572258990656354,73.38552912158484,0.5101906128510487,6.324467474361991e-75,0.5023694992154405,2.4067550046137336e-72,test,4
64,64,LNC_cm,0.17099050353387846,2.7351718800568956,0.41744329450617834,3.018567460069968e-48,0.403046958902071,8.465270398813929e-45,test,4
65,65,SLA_cm,0.647461624358713,3.5111625673465423,0.8087831168786992,7.507436374092333e-259,0.8145560405275782,1.7122175769661887e-265,test,4
66,66,PLH_cm,0.723697564115318,24.511038859994862,0.8510029058099146,1.3614826007e-313,0.8418104838875743,2.5375746041584254e-300,test,4
67,67,LNC_cstd,0.03651473641474423,1.4980493655141232,0.30700384983689377,9.174113145093454e-26,0.2718925491916115,2.3872095271045553e-20,test,4
68,68,SLA_cstd,0.10832952900886583,1.2173438690052933,0.35694109810899516,7.675554639770261e-35,0.3454284125263448,1.344259692437023e-32,test,4
69,69,PLH_cstd,0.4277052690708797,16.827567266631032,0.6573686022718821,6.28524402342781e-139,0.6677265206477732,7.556656949710498e-145,test,4
70,70,average,0.33884644650971923,17.669408990019086,,,,,test,4
71,71,weighted,0.4693709155961188,,,,,,test,4
