,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,fold,subset,postprocessing
575,0.8819701155686992,0.07297001248938718,0.9354838709677419,0.7258745476477684,0.9991697799916978,0.8408733624454149,31.0,Vicia.onobrychioides,0.6613584186155101,1,train,opth
576,0.8879605204127412,0.4772943073176124,0.9306666666666666,0.7076043068640646,0.9877876937529356,0.8245442070182317,375.0,Vicia.sativa,0.6382709735307313,1,train,opth
577,0.8498075849710642,0.2273457730010204,0.7904761904761904,0.7732880937692782,0.9913009094503756,0.8688268930861203,105.0,Vicia.sepium,0.5637642842454686,1,train,opth
578,0.9241165019466906,0.18857097833799819,0.875,0.8197064989517819,0.9996347699050402,0.9007734079315451,8.0,Vicia.tetrasperma,0.6947064989517819,1,train,opth
579,0.8890013880950437,0.10082264596695158,0.9459459459459459,0.7471299093655589,0.9991919191919192,0.8549697493517718,37.0,Vincetoxicum.hirundinaria,0.6930758553115048,1,train,opth
580,0.8305151943765805,0.12855614447714878,0.6428571428571429,0.8637863786378638,0.9982662968099861,0.9261701785427054,14.0,Viola.arvensis,0.5066435214950067,1,train,opth
581,0.7004843341477005,0.0106408595439096,0.9285714285714286,0.4365436543654365,0.9993131868131868,0.6076425140948006,14.0,Viola.biflora,0.36511508293686523,1,train,opth
582,0.880079719387755,0.23490305612500703,0.8435374149659864,0.7715625,0.9907704654895666,0.8675333801827125,147.0,Viola.calcarata,0.6150999149659864,1,train,opth
583,0.7946077668391766,0.14578381408612065,0.7419354838709677,0.7110977080820265,0.9966187658495351,0.8299894403379092,31.0,Viola.hirta,0.4530331919529944,1,train,opth
584,0.7349131476489967,0.2598438603092906,0.625,0.6975142258161126,0.9987135506003431,0.8213718920825251,8.0,Viola.rupestris,0.32251422581611244,1,train,opth
585,0.8337827042141003,0.047067715054115035,0.5555555555555556,0.981725584182145,0.9987808594940567,0.9901797854660825,9.0,Vulpia.myuros,0.5372811397377006,1,train,opth
586,0.8691037735849056,0.18403196502937888,0.75,0.7927523210542079,0.9992449981124952,0.8841015364061456,8.0,Athamanta.cretensis,0.5427523210542078,1,train,opth
587,0.9087735094037614,0.24664084464288874,0.8666666666666667,0.8112244897959183,0.9992606284658041,0.895477886367401,15.0,Bupleurum.baldense,0.6778911564625849,1,train,opth
588,0.9151592150458921,0.14201291704034338,0.8604651162790697,0.8444309927360775,0.9978540772532188,0.9147540983606557,43.0,Imperatoria.ostruthium,0.7048961090151473,1,train,opth
589,0.8497048303857626,0.15272027143630126,0.8367346938775511,0.7868405093996361,0.996926623127161,0.8795119471276055,49.0,Laserpitium.gallicum,0.6235752032771873,1,train,opth
590,0.9978186484174508,0.39973072562358275,0.8571428571428571,0.9925149700598802,0.9996984318455971,0.99609375,7.0,Oenanthe.silaifolia,0.8496578272027373,1,train,opth
591,0.9576520168573148,0.21990725056634108,0.88,0.8931366646598434,0.998989898989899,0.9431023521932613,25.0,Seseli.galloprovinciale,0.7731366646598434,1,train,opth
592,0.8741644218297915,0.08276408474985825,0.8333333333333334,0.6830290332235858,0.9995619798510732,0.8115220483641536,6.0,Torilis.leptophylla,0.516362366556919,1,train,opth
593,0.9184475068237801,0.09222124332168803,0.7777777777777778,0.9727381665668065,0.9993844259772238,0.9858812813116745,9.0,Achillea.ptarmica,0.7505159443445844,1,train,opth
594,0.858996613947109,0.3480182845548364,0.7857142857142857,0.8118811881188119,0.9988925802879292,0.8957298907646475,14.0,Artemisia.alba,0.5975954738330977,1,train,opth
595,0.9070881749829118,0.16398288217376847,0.8636363636363636,0.7780451127819549,0.9988416988416988,0.8747252747252747,22.0,Bombycilaena.erecta,0.6416814764183185,1,train,opth
596,0.8189534651487916,0.022049332044477198,0.6666666666666666,0.8723786698621929,0.9989708404802744,0.9313929313929314,9.0,Cacalia.alliariae,0.5390453365288597,1,train,opth
597,0.8606555321496638,0.34348508248945103,0.7916666666666666,0.8224495937405959,0.9981738495252008,0.9018313809602376,24.0,Cacalia.alpina,0.6141162604072625,1,train,opth
598,0.9553098450774613,0.16332711789446902,0.9166666666666666,0.8314842578710645,0.9996395097332372,0.9078408904894418,12.0,Carduus.nigrescens,0.7481509245377311,1,train,opth
