Taxa,LNC,SLA,PLH
Geranium.robertianum,22.7,43.2832539,22.52083333
Geranium.rotundifolium,25.84032615,,17.66666667
Geranium.sanguineum,,,21.66666667
Geranium.sylvaticum,23.58333201,20.77318624,28.953125
Geum.montanum,13.93608769,13.63568212,7.836538462
Geum.rivale,23.36608569,18.94,31.66666667
Geum.urbanum,28.58201047,26.55665939,29.72826087
Glechoma.hederacea,27.58680185,36.9775,27
Globularia.bisnagarica,18.54,15.89204839,12.78
Globularia.cordifolia,17.75,11.93,1.633333333
Globularia.nudicaulis,11.19161516,7.412904,9
Gymnadenia.conopsea,21.23,17.7275,20.8
Gypsophila.repens,22.72,15.35,14
Helianthemum.nummularium,30.77537038,19.46330415,8.442541665
Helleborus.foetidus,,5.94,33.75
Heracleum.sphondylium,37.00339941,20.24334961,82.05580357
Hieracium.bifidum,17.54,24.3125,8.825
Hieracium.murorum,17.13206879,26.84696413,8.808362367
Hieracium.piliferum,,13.3,4.5
Hieracium.prenanthoides,28.32009713,44.27343168,24.71428571
Hieracium.villosum,,44.06532234,14.5
Himantoglossum.hircinum,,20.02,25
Hippocrepis.comosa,33.2,15.3121892,10.84479167
Holcus.lanatus,14.8,31.76916667,34.125
Homogyne.alpina,18.44666667,10.64038849,4.887121212
Hornungia.petraea,,,6.333333333
Hypericum.maculatum,24.23536062,34.48431278,20.43958333
Hypericum.perforatum,19.02682671,28.76072728,36
Hypericum.richeri,31.64140063,24.93970985,23.39278846
Hypochaeris.maculata,31.30565802,23.25137851,16.30017153
Hypochaeris.radicata,17.116373,40.185697,21.84929
Hyssopus.officinalis,,20.89,38
Inula.salicina,21.47099813,26.835,50
Isatis.tinctoria,,18.54,65
Juncus.alpinoarticulatus,15.03400445,9.242911239,15.84
Juncus.articulatus,20.879463,14.26666667,33
Juncus.effusus,,7.61,90
Juncus.inflexus,14.88218427,3.785,57.59615385
Juncus.jacquinii,16.06927196,,18
Juncus.trifidus,19.72405524,14.309225,17.64492754
Juncus.triglumis,27.52,10.55689621,3.623076923
Knautia.arvensis,25.70222339,21.33899154,35.41142857
Knautia.dipsacifolia,20.02,18.5725,24.26666667
Koeleria.macrantha,16.416203,11.8075,7.3
Koeleria.pyramidata,16.375,16.57,19.24
Koeleria.vallesiana,15.10666667,9.123303301,11.12115385
Lactuca.perennis,,23.47,25
Lactuca.serriola,26.726667,17.3275,68
Lamium.purpureum,18.32971215,,22.66666667
Lapsana.communis,39.87,,
Laserpitium.halleri,27.71,10.32220047,22.67142857
Laserpitium.latifolium,28.927819,15.1439299,41.00307693
Laserpitium.siler,36.97991014,21.6570436,29.64343786
Lathyrus.heterophyllus,,21.735,150
Lathyrus.occidentalis,46.52616501,,
Lathyrus.pratensis,32.69538232,24.11686188,33.50892857
Lathyrus.sphaericus,44.93203163,,
Lathyrus.sylvestris,,,133.3333333
Lathyrus.tuberosus,,28.905,65
Leontodon.autumnalis,,26.893,6.333333332
Leontodon.hispidus,21.80973292,23.63338389,15.96792453
Leontopodium.alpinum,25.36669225,,13
Leucanthemopsis.alpina,18.17975187,11.33613812,2.619657395
Leucanthemum.vulgare,23.04,21.06012771,22.02857143
Lilium.martagon,,24.245,46.775
Linaria.repens,22.72635102,26.98,38.33333333
Linum.alpinum,43.11666667,,
Linum.catharticum,17.45081423,32.64041667,11.17083333
Linum.tenuifolium,22.49723355,,30
Listera.ovata,35.29198885,29.00666667,12.81666667
Lolium.multiflorum,,,33
Lolium.perenne,20.84,20.632,23.14166667
Lotus.corniculatus,34.31420812,23.17909423,27.336875
Lotus.maritimus,32.09666667,21.47422682,7.78
Luzula.campestris,9.4,24.35056306,21.46458333
Luzula.lutea,15.44031375,15.67090196,9.003360215
Luzula.multiflora,22.976356,27.1315,17.66666667
Luzula.sieberi,16.53669596,,
Luzula.spicata,20.331667,12.6875,13
Luzula.sudetica,11.88016574,34.3,17
Lysimachia.nummularia,,32.40666667,45
Lysimachia.vulgaris,19.31461928,21.92035715,91.35694445
Malva.moschata,,,41.66666667
Malva.sylvestris,,22.72,57.66666667
Medicago.falcata,28.2,20.5,
Medicago.lupulina,31.6,28.50790023,20.289375
Medicago.minima,37.843007,26.56666667,10.75
Medicago.sativa,39.7,25.8,72.8
Melica.ciliata,21.08260776,17.3075,38.74038462
Melilotus.albus,29.82815584,,
Meum.athamanticum,22.92708333,12.05096533,27.24247727
Minuartia.laricifolia,28.56257518,,
Minuartia.rostrata,21.47871892,,
Minuartia.verna,15.02666667,19.45,6.5
Muscari.comosum,22.0980827,22.13959845,32.52884616
Myosotis.alpestris,29.10506797,26.41731909,14.61309524
Myosotis.arvensis,24.5,29.06565288,23.16666667
Myosotis.ramosissima,,31.63428572,10.33333333
Myosotis.scorpioides,,59.63,28
Myosotis.stricta,,26.98,6
Narcissus.poeticus,21.1,22.705,26.14333333
Nardus.stricta,16.71983494,15.37408151,14.99872866
Odontites.luteus,19.68356822,11.70868684,22.96
Onobrychis.montana,29.36213164,13.38556885,22.63433334
Onobrychis.viciifolia,31.588388,19.149,27.66666667
Ononis.natrix,40.04289707,15.94783953,36.05769231
Ononis.repens,34.55682198,15.27151312,22.80952381
Ononis.spinosa,34.55682198,22.51075656,25.15476191
Ophioglossum.vulgatum,,,13
Ophrys.apifera,,,15
Ophrys.insectifera,,,20
Orchis.mascula,,19.11,17
Orchis.militaris,,21.53,15.05
Origanum.vulgare,15.33101499,21.17829293,40.67857143
Ornithogalum.umbellatum,21.61882401,,20
Orobanche.alba,,,12.5
Orobanche.caryophyllacea,,,21.5
Oxytropis.campestris,33.19821429,13.59,13.13333333
Oxytropis.helvetica,40.89046876,,
