"","SR"
"CBNA_390433",34.4684233911179
"CBNA_390438",42.5467858637116
"CBNA_390441",24.7257859485356
"CBNA_390443",40.4264024670899
"CBNA_390444",31.3544664278623
"CBNA_390449",34.5871222616762
"CBNA_390450",48.5425495562147
"CBNA_390452",33.3836023422987
"CBNA_390454",32.4632087450232
"CBNA_390455",33.7900474671446
"CBNA_390457",31.8576891118278
"CBNA_390464",17.8261329881745
"CBNA_390465",32.5399297220207
"CBNA_390466",36.3295406090509
"CBNA_390467",28.8102083981248
"CBNA_390468",34.2299861048
"CBNA_390472",18.0633026091888
"CBNA_390474",38.0116702402172
"CBNA_390475",24.8709626618576
"CBNA_390476",37.0647875998008
"CBNA_390479",30.1832050787738
"CBNA_390480",5.49463810417368
"CBNA_390483",24.6004115558978
"CBNA_390484",36.9826757930088
"CBNA_390486",43.4527778686123
"CBNA_390487",26.712089896571
"CBNA_390490",29.3880412681803
"CBNA_390492",29.265223602821
"CBNA_390493",33.6373216512223
"CBNA_390500",23.7348016124712
"CBNA_390519",50.6368263593491
"CBNA_390528",37.4681133744415
"CBNA_390534",45.1781268390858
"CBNA_390544",46.4727405951391
"CBNA_390547",30.8387426823563
"CBNA_390551",44.2666155708521
"CBNA_390554",19.6521262196727
"CBNA_390557",40.0440861968785
"CBNA_390558",50.4597766377422
"CBNA_390560",43.9564043540322
"CBNA_390566",14.4322544450536
"CBNA_390567",38.4302763753022
"CBNA_390571",21.3045936766555
"CBNA_390574",22.7619414706479
"CBNA_390576",25.3310309728563
"CBNA_390577",0.444419471193749
"CBNA_390578",30.2436735222483
"CBNA_390588",37.5040849528515
"CBNA_390591",29.1199318754327
"CBNA_390595",47.1585051080993
"CBNA_390596",37.9012947904585
"CBNA_390597",46.1295279854201
"CBNA_390602",47.1864119183047
"CBNA_390604",42.8603780025839
"CBNA_390610",54.2248347366396
"CBNA_390611",36.4920096207712
"CBNA_390622",28.2238115451196
"CBNA_390637",44.8740924203292
"CBNA_390638",31.0617149615951
"CBNA_390640",12.9901572815676
"CBNA_390641",36.0519318065946
"CBNA_390642",18.6946541785237
"CBNA_390645",31.2194507824525
"CBNA_390647",20.0513827003015
"CBNA_390651",29.1647814804425
"CBNA_390653",20.2524858761877
"CBNA_390654",28.2302372757187
"CBNA_390655",32.4331612615791
"CBNA_390656",23.2296150894097
"CBNA_390657",30.3298975533843
"CBNA_390658",22.9321708712206
"CBNA_390660",35.8899120364622
"CBNA_390673",14.4803619966844
"CBNA_390676",32.6176086564811
"CBNA_390679",36.5142809750552
"CBNA_390681",25.5176223800447
