"","LNC","SLA","PLH"
"CBNA_390153",23.91968208,17.76883378,17.20729339
"CBNA_390154",23.71317598,17.39694049,17.91044308
"CBNA_390159",23.39610385,16.94338391,9.353459148
"CBNA_390160",23.79029373,16.83979838,9.304793607
"CBNA_390161",23.85820579,16.78830409,10.1712467
"CBNA_390164",23.30922,17.0882884,10.01018827
"CBNA_390174",24.02336178,17.07431205,13.28525523
"CBNA_390178",23.48426048,17.54745397,18.28751239
"CBNA_390179",23.5311156,16.66606328,13.7550522
"CBNA_390180",23.95935457,17.35051746,13.24049857
"CBNA_390182",23.75338477,17.11771192,13.88051603
"CBNA_390184",23.77972106,17.37885636,12.96828229
"CBNA_390186",23.70327557,16.76834164,13.12554339
"CBNA_390190",23.28289751,16.38363774,12.47370704
"CBNA_390191",23.60886998,16.44537505,12.1258373
"CBNA_390192",23.4016505,16.59117641,11.61378311
"CBNA_390199",24.01609096,17.20380982,11.49268811
"CBNA_390205",24.03838243,19.44288874,22.30444209
"CBNA_390229",24.14626616,18.20256997,16.9979584
"CBNA_390234",23.74944406,16.92658357,10.06808745
"CBNA_390235",23.56517684,16.70336803,10.31888179
"CBNA_390245",24.10542481,16.06661206,9.136879817
"CBNA_390261",23.38868936,16.22160673,8.320228994
"CBNA_390262",23.49393091,16.3206403,10.51729383
"CBNA_390263",23.49518086,15.74141243,8.457002195
"CBNA_390264",24.8639899,21.31703891,27.57262056
"CBNA_390277",24.46471426,20.56827005,25.48967099
"CBNA_390291",24.05266209,20.58302664,25.57440026
"CBNA_390301",24.06241252,20.79164001,25.77045637
"CBNA_390311",23.7614538,18.01159903,18.56644532
"CBNA_390312",23.98726872,17.16331521,17.83330182
"CBNA_390314",24.50280407,20.28962924,24.1874584
"CBNA_390321",24.26406101,18.26970359,20.83723275
"CBNA_390323",23.90790681,18.81729766,19.22163086
"CBNA_390325",23.67629813,16.47004968,10.84290338
"CBNA_390326",24.59198591,19.73669609,22.88279238
"CBNA_390327",24.19092914,19.84171422,21.84383443
"CBNA_390328",24.10503034,19.40913912,22.91362055
"CBNA_390331",23.59835393,17.26401516,16.12413495
"CBNA_390336",23.7548186,16.04653328,9.005822984
"CBNA_390343",23.72073184,16.73583646,12.42781127
"CBNA_390354",23.54254565,18.64222314,18.17524832
"CBNA_390355",24.14661626,19.49952455,19.74542143
"CBNA_390360",23.31343669,16.7762548,12.14759522
"CBNA_390361",23.76857381,16.91496666,12.54881275
"CBNA_390364",23.74010962,18.2297158,17.11211398
"CBNA_390380",24.50773258,20.61919174,24.26855153
"CBNA_390421",22.99097726,16.68566419,16.73786623
"CBNA_390422",22.93887385,17.15708371,16.0923761
"CBNA_390423",22.65922013,16.93522485,15.25026281
"CBNA_390426",22.99692205,17.40579736,17.42917311
"CBNA_390433",24.24622499,19.54861531,19.68061864
"CBNA_390438",23.65043859,16.95780891,12.55480319
"CBNA_390441",23.4962801,16.48413695,11.79215719
"CBNA_390443",24.3113608,17.10658199,12.84236688
"CBNA_390444",24.13431189,17.31379056,13.74523692
"CBNA_390449",23.78285763,16.16362835,9.618359028
"CBNA_390450",24.33958153,16.58406461,12.79529489
"CBNA_390452",23.12671627,16.33288779,10.29439324
"CBNA_390454",23.57366149,16.53534096,12.44635563
"CBNA_390455",24.00042348,16.49384445,12.27659471
"CBNA_390457",23.48854435,16.48531893,13.84073122
"CBNA_390464",23.70229775,16.51215977,11.34259827
"CBNA_390465",23.76154626,16.99147835,12.49596517
"CBNA_390466",23.79378697,16.86413076,12.93002825
"CBNA_390467",23.83655096,17.0937342,12.65351592
"CBNA_390468",23.59605734,17.00272405,11.89323128
"CBNA_390472",24.0634704,17.70842876,15.19969475
"CBNA_390474",24.47242562,17.52695249,13.76264198
"CBNA_390475",23.80454787,17.0315284,12.99847164
"CBNA_390476",24.15796198,17.18365255,13.5323361
"CBNA_390479",23.83888126,17.07068795,13.70296594
"CBNA_390480",23.97816144,17.26362933,13.42157848
"CBNA_390483",24.12726635,17.76390849,14.56451918
"CBNA_390484",23.47070352,16.43696928,10.83226361
"CBNA_390486",23.99082596,17.37470454,13.38675064
"CBNA_390487",23.79555739,17.40323668,13.53223486
"CBNA_390490",23.32496983,15.76745282,10.17402829
"CBNA_390492",23.73354082,16.31120273,10.36831128
"CBNA_390493",23.56999447,15.70020259,10.51733137
"CBNA_390500",22.4031301,15.80190846,11.05096069
"CBNA_390519",23.89359692,19.64777685,22.16165807
"CBNA_390528",23.96871449,20.30685211,23.65561179
"CBNA_390534",23.97154013,19.59881827,21.60550214
"CBNA_390544",23.24875147,17.23415083,16.39834225
"CBNA_390547",23.56341882,19.03898912,21.14714913
"CBNA_390551",23.75278927,17.20847088,15.60670794
"CBNA_390554",23.22680086,18.25449498,19.76350982
"CBNA_390557",23.28988278,19.90561102,23.58743095
"CBNA_390558",23.11099115,17.42336863,13.54091666
"CBNA_390560",23.31111048,16.99494723,12.14604067
"CBNA_390566",23.82786203,17.32562689,13.25114239
"CBNA_390567",23.71806374,16.70902064,11.01246716
"CBNA_390571",23.6983054,18.98785745,15.25407609
"CBNA_390574",23.12229228,16.4534036,13.3720264
"CBNA_390576",24.35970875,19.09050328,13.31614924
"CBNA_390577",22.25397622,15.80017322,12.09224883
"CBNA_390578",23.87757444,17.06265032,11.62613417
"CBNA_390588",23.56135678,16.08950698,10.4313099
"CBNA_390591",23.33219218,16.42137539,11.17570317
"CBNA_390595",22.96185962,16.99963664,14.15078458
"CBNA_390596",23.29913328,16.25366479,13.69660563
"CBNA_390597",23.34089334,16.77932164,14.26649196
"CBNA_390602",23.18373964,15.79924841,10.69983562
"CBNA_390604",23.58256519,16.18256856,11.4955684
"CBNA_390610",23.61728189,18.86626779,18.08055137
"CBNA_390611",24.04104078,18.64167717,18.16693374
"CBNA_390622",23.43226579,16.00935668,10.18972143
"CBNA_390637",23.83782269,17.94096414,17.28468304
"CBNA_390638",24.15828128,17.43667353,12.78822573
"CBNA_390640",23.35312888,16.01960722,11.37387777
"CBNA_390641",23.69712334,16.94386675,13.5090758
"CBNA_390642",23.93896527,16.84075431,12.05368875
"CBNA_390645",23.35538678,16.72266884,12.74968891
"CBNA_390647",23.72000038,15.7170581,10.40088968
"CBNA_390651",23.38975004,16.15860133,9.782390655
"CBNA_390653",23.90374819,15.93843659,9.813826301
"CBNA_390654",23.57085184,15.68878968,10.5330796
"CBNA_390655",23.41368485,15.71959828,9.625344786
"CBNA_390656",23.51072748,15.88736587,9.929456239
"CBNA_390657",23.48183597,15.75595427,9.903311477
"CBNA_390658",23.24694753,16.65003835,13.20889753
"CBNA_390660",23.56519764,16.70921087,12.16994618
"CBNA_390673",23.6482935,16.03970523,10.03397992
"CBNA_390676",23.29066412,16.7418349,12.35485854
"CBNA_390679",23.47648881,16.67108647,11.65608487
"CBNA_390681",23.68550726,17.27811033,12.84246888
"CBNA_390686",23.44008828,16.15745073,9.573936716
"CBNA_390691",24.14135629,16.26268988,7.962548943
"CBNA_390700",22.72956814,15.75958296,8.942223802
"CBNA_390704",23.87766813,15.81771639,8.821340224
"CBNA_390706",23.68469359,16.23204882,9.146088104
"CBNA_390710",23.85889589,16.66373732,7.846053701
"CBNA_390712",24.0021672,16.31967587,8.392767953
"CBNA_390713",24.3568466,16.09644098,9.513814197
"CBNA_390714",23.93109579,16.18599776,8.71193695
"CBNA_390717",23.80991846,16.38609176,11.32186971
"CBNA_390724",23.99224439,16.57712495,8.383628475
"CBNA_390743",24.65172839,21.12487072,27.11008098
"CBNA_390816",23.41556102,17.16745373,14.34116038
"CBNA_391147",24.33347594,21.13132364,25.93344005
"CBNA_391152",23.77116096,15.97266117,7.897451025
"CBNA_391153",23.67117988,19.20251761,21.29262698
"CBNA_391155",23.25097095,17.19505633,15.05536975
"CBNA_391157",23.5394585,17.55754416,15.48684766
"CBNA_391158",23.21215711,18.20479826,18.41603286
"CBNA_391159",23.12691133,16.36285831,13.85513382
"CBNA_391169",23.6411975,16.30020912,10.57088384
"CBNA_391171",23.40996989,15.7784163,10.77691823
"CBNA_391172",23.79030691,15.95975584,10.59015582
"CBNA_391173",23.20773912,16.03371496,11.58073462
"CBNA_391177",23.39311434,16.05586531,10.91480939
"CBNA_391181",23.28234127,15.67587307,10.02041119
"CBNA_391182",23.45372432,15.81600727,10.81471811
"CBNA_391183",23.72019384,16.17510693,10.96144919
"CBNA_391184",23.4206962,15.77254693,10.88582995
"CBNA_391185",23.78189566,17.64424482,14.87246187
"CBNA_391188",23.46508308,15.33109226,9.454168704
"CBNA_391189",24.3507195,15.66963591,9.662863687
"CBNA_391190",24.07644555,18.64536643,18.77642694
"CBNA_391193",23.4657663,19.15503356,20.94122027
"CBNA_391195",23.87450335,17.55773645,11.60762745
"CBNA_391196",23.88209731,15.92677494,11.74193342
"CBNA_391198",23.51550068,16.34109132,12.45367434
"CBNA_391214",24.26180986,19.34947047,23.1704645
"CBNA_391222",23.96010988,17.73349789,17.87942272
"CBNA_391225",23.65756505,18.35569093,16.43761999
"CBNA_391238",23.78226451,18.87056144,17.23272149
"CBNA_391241",23.48652098,19.13581871,21.0372066
"CBNA_391316",25.10450396,23.47845783,31.92809463
"CBNA_391353",23.35553738,21.51431158,25.95749889
"CBNA_391615",24.33874675,19.09755912,20.57639611
"CBNA_391618",23.86426761,18.26382835,16.30628438
"CBNA_391620",24.03504076,18.76030484,18.59070823
"CBNA_391621",23.34039937,17.74393761,17.05573767
"CBNA_391623",23.94651291,18.60507882,19.95443129
"CBNA_391624",23.82014284,18.5247751,19.95045059
"CBNA_391636",24.30567404,20.97181658,26.25836347
"CBNA_391646",23.2121774,16.31268497,13.23643097
"CBNA_391647",23.3841278,16.50840306,13.7756237
"CBNA_391650",23.36200121,15.74945972,12.30907376
"CBNA_391652",22.79010431,16.54466021,16.78398812
"CBNA_391655",24.61619581,18.34787667,17.79944647
"CBNA_391656",23.77752305,17.00512332,15.76174144
"CBNA_391657",24.32199838,18.51812038,18.77641951
"CBNA_391660",24.63517059,19.03989002,17.31449615
"CBNA_391663",24.47253548,19.80883779,21.12604833
"CBNA_391668",24.36314806,21.13000813,25.26916337
"CBNA_391673",23.73700309,17.86078432,17.62502193
"CBNA_391675",23.70368577,17.85506858,16.09318516
"CBNA_391683",24.07819756,18.70925205,19.54866493
"CBNA_391684",23.32625506,17.36200542,15.3325358
"CBNA_391686",23.40743831,17.53279356,16.18834441
"CBNA_391687",23.08170077,15.76694533,9.706770772
"CBNA_391688",24.05961444,15.93135928,10.32172761
"CBNA_391693",23.83702403,18.27822282,15.42844999
"CBNA_391701",24.70604213,18.86004426,18.49458466
"CBNA_391703",24.18709608,18.38063835,18.0564889
"CBNA_391900",21.7624512,15.88864125,9.475708759
"CBNA_392280",24.25200698,17.33731521,7.567841728
"CBNA_392384",24.33395867,19.01280634,17.4157178
"CBNA_406876",25.36185067,19.74518829,23.68450374
"CBNA_406878",25.23110497,19.37582113,24.846888
"CBNA_407291",23.88448117,19.11179672,23.11508887
"CBNA_408165",24.98494618,22.01833103,31.06094751
"CBNA_408214",24.07136041,22.46669309,30.66304458
"CBNA_408217",23.92887426,22.27341539,30.49944763
"CBNA_408220",24.28119335,21.73050975,30.68543838
"CBNA_408221",25.20390141,22.48344185,30.64464389
"CBNA_408269",23.79464317,19.66691127,24.69166016
"CBNA_408277",24.50956174,23.00893771,31.17587868
"CBNA_408287",24.92906175,22.85595236,31.12715004
"CBNA_408291",24.68668648,20.60491574,27.31464763
"CBNA_408293",23.69313997,20.37364161,26.97414247
"CBNA_408297",24.98225866,22.15104947,30.21752652
"CBNA_408309",24.18098132,21.53643619,29.38152196
"CBNA_408347",24.73240037,22.42185104,29.79324653
"CBNA_408361",23.94948409,19.26458311,22.19481435
"CBNA_408366",23.81996328,19.50264531,23.93348173
"CBNA_408753",24.1114015,19.89894339,25.95910367
"CBNA_408754",23.71300703,19.28378635,24.86676549
"CBNA_408758",23.60203295,17.34270001,9.852290858
"CBNA_408775",24.84362114,21.01087414,28.41529235
"CBNA_408778",24.29727933,20.05093446,26.24389973
"CBNA_408779",25.21083143,21.48092151,28.57528618
"CBNA_408786",23.76983895,18.98156796,22.70124603
"CBNA_408787",24.72686608,21.20302127,28.53384882
"CBNA_408809",24.19520819,19.89924755,23.70468427
"CBNA_408810",24.6931591,21.71517766,28.44962182
"CBNA_408811",24.97869336,20.34904158,26.64489993
"CBNA_408813",24.85738587,20.77151868,29.14079419
"CBNA_408818",24.70711807,21.42236871,29.38963676
"CBNA_408828",24.58855693,20.17426558,23.5522425
"CBNA_409047",24.65041215,21.32909731,25.05565053
"CBNA_409582",23.95235571,17.24159209,15.54115445
"CBNA_409619",24.61978353,19.30482722,18.83223555
"CBNA_409676",23.4885968,18.19723578,15.51227127
"CBNA_409681",25.25925048,20.55492999,27.05169001
"CBNA_409699",23.98944794,19.50123176,23.68116635
"CBNA_409701",23.07919906,17.2276645,15.39465029
"CBNA_409781",24.44430444,21.25117024,28.75879875
"CBNA_409843",23.68493257,18.69870573,21.34451844
"CBNA_409874",24.08280789,19.47184843,23.08944444
"CBNA_409878",23.03902587,17.21921481,11.37359903
"CBNA_409925",22.69934377,18.79656372,25.95351067
"CBNA_409944",23.60068894,18.97840198,25.44417968
"CBNA_409955",24.41053852,20.81547536,29.02924978
"CBNA_409976",25.16428348,23.22132422,32.03157877
"CBNA_409983",23.79080817,19.68779757,28.30878209
"CBNA_410004",24.4520735,21.05047384,29.02002287
"CBNA_410080",23.96493812,19.1982363,21.92397754
"CBNA_410092",23.79081946,17.02644843,12.05847734
"CBNA_410104",23.66665929,19.76502875,23.34331806
"CBNA_410122",23.12218547,18.14554992,16.86969931
"CBNA_410125",23.25913635,18.754862,19.01719055
"CBNA_410170",22.67147151,16.13924364,10.08265979
"CBNA_410173",23.01993711,16.71589886,9.881443549
"CBNA_410177",22.53013955,16.83709209,7.424610844
"CBNA_410180",22.69328376,17.68234482,7.046369617
"CBNA_410182",22.57593691,16.86815051,7.305494184
"CBNA_410183",23.0037659,17.80375403,6.379518976
