"","SR"
"CBNA_391177",21.51234762
"CBNA_391181",22.07972143
"CBNA_391182",17.92240238
"CBNA_391183",19.31497143
"CBNA_391184",20.48670238
"CBNA_391185",29.26537619
"CBNA_391188",20.61598095
"CBNA_391189",22.56909286
"CBNA_391190",35.15047222
"CBNA_391193",22.57482937
"CBNA_391195",25.35041032
"CBNA_391196",27.09315238
"CBNA_391198",30.16782698
"CBNA_391214",36.0642381
"CBNA_391222",38.68637937
"CBNA_391225",27.83106429
"CBNA_391238",28.03844206
"CBNA_391241",28.1748373
"CBNA_391316",26.21593968
"CBNA_391353",30.57302381
"CBNA_391615",31.4625373
"CBNA_391618",28.71347698
"CBNA_391620",28.24567063
"CBNA_391621",35.57890556
"CBNA_391623",31.37089365
"CBNA_391624",30.33350794
"CBNA_391636",29.51488413
"CBNA_391646",28.91336984
"CBNA_391647",32.40136429
"CBNA_391650",27.39679841
"CBNA_391652",36.59339444
"CBNA_391655",27.63233016
"CBNA_391656",37.07779127
"CBNA_391657",34.69732222
"CBNA_391660",25.82865556
"CBNA_391663",27.31900397
"CBNA_391668",31.37046429
"CBNA_391673",31.65378016
"CBNA_391675",36.18391905
"CBNA_391683",30.57127937
"CBNA_391684",29.95644762
"CBNA_391686",30.52820635
"CBNA_391687",25.79292857
"CBNA_391688",26.60374127
"CBNA_391693",28.7499381
"CBNA_391701",31.14944841
"CBNA_391703",33.06605397
"CBNA_391900",19.61970794
"CBNA_392280",17.72453175
"CBNA_392384",25.46710952
"CBNA_406876",30.68979365
"CBNA_406878",25.95322698
"CBNA_407291",33.54361349
"CBNA_408165",26.90122857
"CBNA_408214",22.64803016
"CBNA_408217",21.71943651
"CBNA_408220",23.19346667
"CBNA_408221",23.16891349
"CBNA_408269",26.94395476
"CBNA_408277",24.73967222
"CBNA_408287",27.92761508
"CBNA_408291",26.89362857
"CBNA_408293",24.74934286
"CBNA_408297",24.07836587
"CBNA_408309",27.85577222
"CBNA_408347",28.62140317
"CBNA_408361",26.24972778
"CBNA_408366",26.28793889
"CBNA_408753",30.30655
"CBNA_408754",28.31669683
"CBNA_408758",19.8842119
"CBNA_408775",27.4506119
"CBNA_408778",26.96564127
"CBNA_408779",29.17986508
"CBNA_408786",29.89555317
"CBNA_408787",23.73530159
"CBNA_408809",29.8703
"CBNA_408810",30.41560556
"CBNA_408811",31.6596381
"CBNA_408813",31.60441746
"CBNA_408818",31.9129
"CBNA_408828",32.94791349
"CBNA_409047",28.26512619
"CBNA_409582",27.88098492
"CBNA_409619",26.40806587
"CBNA_409676",21.24960556
"CBNA_409681",31.73774444
"CBNA_409699",30.54631349
"CBNA_409701",22.63852619
"CBNA_409781",28.58065159
"CBNA_409843",27.31604921
"CBNA_409874",31.44185
"CBNA_409878",19.28150159
"CBNA_409925",25.13690159
"CBNA_409944",26.28046984
"CBNA_409955",28.35746111
"CBNA_409976",29.70176984
"CBNA_409983",23.31451825
"CBNA_410004",25.02776746
"CBNA_410080",32.7567627
"CBNA_410092",30.79862698
"CBNA_410104",31.87143016
"CBNA_410122",27.866
"CBNA_410125",30.27694206
"CBNA_410170",24.70488571
"CBNA_410173",25.86253889
"CBNA_410177",19.53064365
"CBNA_410180",18.5379873
"CBNA_410182",21.98187698
"CBNA_410183",18.89584683
"CBNA_410184",21.57716349
"CBNA_410197",24.90030714
"CBNA_410222",34.01936667
"CBNA_410227",26.26459048
"CBNA_410251",31.28655
"CBNA_410257",27.91779444
"CBNA_410258",25.06421429
"CBNA_410260",23.98173016
"CBNA_410261",26.84373254
"CBNA_410492",21.49954841
"CBNA_410497",27.00102222
"CBNA_410616",21.06581286
"CBNA_410663",22.61435
"CBNA_410675",26.06148413
"CBNA_410707",22.34894127
"CBNA_410712",26.03867619
"CBNA_410714",25.35989841
"CBNA_410718",23.5472127
"CBNA_410720",24.32474127
