"","LNC","SLA","PLH"
"CBNA_383412",22.6927201192608,8.70627052141077,20.4388982939635
"CBNA_383492",23.0268770674573,16.0598758679002,12.32397472753
"CBNA_388286",18.5996170396114,9.40897527594396,13.8185087054705
"CBNA_388399",24.8153283919277,19.2783277884506,8.8873857402726
"CBNA_388415",22.636995340839,17.5222235200437,13.9916722896895
"CBNA_388416",20.8688123206257,17.2617607979097,15.7407371064181
"CBNA_388419",24.692440542175,12.8879579563502,14.856216667938
"CBNA_388423",25.4010959224003,11.1725913012114,4.24131842637995
"CBNA_388424",31.5623194923183,14.4059536262017,9.9965460280755
"CBNA_388430",22.48512143069,11.9929412034044,17.8937953993455
"CBNA_388434",20.1304765311154,11.3254687559857,9.18145281934296
"CBNA_388435",20.8898720756818,21.9638046311673,14.7005529170786
"CBNA_388436",30.0228327595128,18.2345913456547,10.8777286069573
"CBNA_388442",24.5313881303769,14.0992933858072,2.45566077000613
"CBNA_388467",21.1110174634394,11.2408737658042,4.9842766961786
"CBNA_388468",22.117389290234,13.8796985839365,1.79305972633292
"CBNA_388471",29.1747409428893,20.3296093257988,10.7887798254509
"CBNA_388476",27.5150301983716,9.69541148168133,12.6050608532019
"CBNA_388482",23.7059235593695,19.2266051188835,2.95517824541241
"CBNA_388492",29.9681120080089,14.2985984512267,8.59548434731862
"CBNA_388505",26.5323576853109,21.6163868193903,7.72536892072319
"CBNA_388508",28.0625344480664,18.5157764598665,5.22724081079491
"CBNA_388511",30.8674181900641,22.2820461285233,8.66120221468987
"CBNA_388517",31.3429855311386,16.5733883887142,16.4111284071317
"CBNA_388521",34.0367864932117,18.7033341910495,7.60909263168279
"CBNA_388522",27.6145080963102,18.913452230439,16.0516140659175
"CBNA_388523",29.7307324794056,17.3945342952186,3.60669075243249
"CBNA_388525",28.7788550159011,17.2204870380447,3.51027638358328
"CBNA_388526",17.2960156908121,18.9551845143765,7.96191319565821
"CBNA_388527",19.436116767013,18.3679000203586,13.0936248846681
"CBNA_388528",22.5597794700693,12.4412930514838,9.14633061003114
"CBNA_388532",24.7928046440456,19.4601084928306,5.08100404977145
